CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
12/24/2022,14:11,QUEENS,11377,40.743237,-73.90096,"(40.743237, -73.90096)",,,42-02     64 STREET,1,0,1,0,0,0,0,0,Unspecified,,,,,4592511,Sedan,,,,
12/24/2022,4:10,,,,,,BROOKLYN QUEENS EXPRESSWAY RAMP,,,0,0,0,0,0,0,0,0,Pavement Defective,Unspecified,,,,4592478,Sedan,Pick-up Truck,,,
12/24/2022,23:00,,,,,,VANDAM STREET,BORDEN AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4592679,Station Wagon/Sport Utility Vehicle,,,,
12/24/2022,18:00,,,40.75829,-73.83431,"(40.75829, -73.83431)",COLLEGE POINT BOULEVARD,,,0,0,0,0,0,0,0,0,Backing Unsafely,Failure to Yield Right-of-Way,,,,4592507,Station Wagon/Sport Utility Vehicle,Sedan,,,
12/24/2022,13:55,,,40.741623,-73.993744,"(40.741623, -73.993744)",WEST 21 STREET,,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4592602,Sedan,,,,
12/24/2022,14:00,BRONX,10454,40.804344,-73.92158,"(40.804344, -73.92158)",BRUCKNER BOULEVARD,BROOK AVENUE,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Traffic Control Disregarded,,,,4592708,Sedan,Sedan,,,
12/24/2022,19:01,BROOKLYN,11204,40.620914,-73.9753,"(40.620914, -73.9753)",BAY PARKWAY,MC DONALD AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4592813,Sedan,Sedan,,,
12/24/2022,1:30,,,,,,QUEENSBORO BRIDGE LOWER ROADWAY,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,4592438,Taxi,Taxi,,,
12/24/2022,16:53,,,,,,WILLIAMSBURG BRIDGE INNER ROADWA,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,4592779,Station Wagon/Sport Utility Vehicle,,,,
12/24/2022,19:43,BRONX,10466,40.895805,-73.84289,"(40.895805, -73.84289)",WILDER AVENUE,BUSSING PLACE,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,,,,4592902,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
12/24/2022,4:00,BROOKLYN,11234,40.634483,-73.91886,"(40.634483, -73.91886)",RALPH AVENUE,GLENWOOD ROAD,,1,0,0,0,0,0,1,0,Traffic Control Disregarded,Unspecified,,,,4592471,Station Wagon/Sport Utility Vehicle,Sedan,,,
12/24/2022,3:00,BROOKLYN,11230,40.630566,-73.97715,"(40.630566, -73.97715)",,,956       MC DONALD AVENUE,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4592835,Sanitation,,,,
12/24/2022,5:30,BRONX,10470,40.904552,-73.847824,"(40.904552, -73.847824)",PENFIELD STREET,BARNES AVENUE,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,4592999,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
12/24/2022,21:20,,,,,,STILLWELL AVENUE,PELHAM PARKWAY,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4593107,Sedan,Sedan,,,
12/24/2022,14:46,,,,,,BROOKLYN BRIDGE,,,2,0,0,0,0,0,2,0,Pavement Slippery,Pavement Slippery,Pavement Slippery,,,4593005,Sedan,Pick-up Truck,Sedan,,
12/24/2022,4:42,QUEENS,11434,40.660347,-73.767975,"(40.660347, -73.767975)",BREWER BOULEVARD,147 AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4592482,Sedan,Sedan,,,
12/24/2022,13:00,,,40.685844,-73.94732,"(40.685844, -73.94732)",MONROE STREET,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4592616,Station Wagon/Sport Utility Vehicle,,,,
12/24/2022,16:55,BROOKLYN,11219,40.626553,-74.002495,"(40.626553, -74.002495)",,,1258      65 STREET,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,4592560,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
12/24/2022,5:20,QUEENS,11378,40.72878,-73.926155,"(40.72878, -73.926155)",56 ROAD,43 STREET,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,4592512,Bus,Sedan,,,
12/24/2022,0:20,,,,,,QUEENSBORO BRIDGE UPPER ROADWAY,,,0,0,0,0,0,0,0,0,Unspecified,,,,,4593071,Station Wagon/Sport Utility Vehicle,,,,
12/24/2022,19:57,,,,,,BROOKLYN QUEENS EXPRESSWAY,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4592540,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
12/24/2022,5:30,,,,,,LONG ISLAND EXPRESSWAY,11 STREET,,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,4592513,Station Wagon/Sport Utility Vehicle,,,,
12/24/2022,0:54,,,40.634266,-74.14409,"(40.634266, -74.14409)",INNIS STREET,JOHN STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4592495,Sedan,Sedan,,,
12/24/2022,2:53,MANHATTAN,10002,40.720707,-73.981316,"(40.720707, -73.981316)",EAST HOUSTON STREET,AVENUE C,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,4592922,Sedan,Station Wagon/Sport Utility Vehicle,,,
12/24/2022,0:00,,,40.638245,-73.99595,"(40.638245, -73.99595)",48 STREET,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4592824,Station Wagon/Sport Utility Vehicle,Sedan,,,
12/24/2022,13:35,BROOKLYN,11209,40.62149,-74.02622,"(40.62149, -74.02622)",86 STREET,5 AVENUE,,0,0,0,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,4592506,Sedan,Bike,,,
12/24/2022,15:55,QUEENS,11411,40.690914,-73.72819,"(40.690914, -73.72819)",LINDEN BOULEVARD,234 STREET,,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,4592567,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
12/24/2022,20:00,,,,,,VANWYCK EXPRESSWAY,LINDEN BOULEVARD,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,4592800,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
12/24/2022,11:14,BROOKLYN,11214,40.60997,-74.00343,"(40.60997, -74.00343)",84 STREET,17 AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,4592618,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
12/24/2022,0:45,QUEENS,11378,40.72296,-73.90385,"(40.72296, -73.90385)",,,61-17     MASPETH AVENUE,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,4592745,Sedan,Station Wagon/Sport Utility Vehicle,,,
12/24/2022,19:40,QUEENS,11366,40.72115,-73.80943,"(40.72115, -73.80943)",,,78-38     PARSONS BOULEVARD,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,,,,,4592526,Sedan,,,,
12/24/2022,11:50,BROOKLYN,11212,40.66576,-73.908905,"(40.66576, -73.908905)",,,275       BLAKE AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,4592892,Sedan,,,,
12/24/2022,14:15,BRONX,10458,40.863518,-73.891884,"(40.863518, -73.891884)",,,2581      MARION AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,4592819,Sedan,,,,
12/24/2022,15:25,BROOKLYN,11216,40.67357,-73.95294,"(40.67357, -73.95294)",ROGERS AVENUE,PARK PLACE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4592986,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
12/24/2022,0:40,QUEENS,11385,40.692314,-73.88268,"(40.692314, -73.88268)",CYPRESS HILLS STREET,CYPRESS AVENUE,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,,,,,4592771,Sedan,,,,
12/24/2022,14:19,MANHATTAN,10027,40.817547,-73.95694,"(40.817547, -73.95694)",WEST 131 STREET,BROADWAY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4592637,Sedan,Sedan,,,
12/24/2022,15:36,,,40.783844,-73.979996,"(40.783844, -73.979996)",WEST 79 STREET,,,0,0,0,0,0,0,0,0,Other Vehicular,Driver Inattention/Distraction,,,,4592784,Station Wagon/Sport Utility Vehicle,USPS box t,,,
12/24/2022,2:10,BRONX,10472,40.832546,-73.86408,"(40.832546, -73.86408)",,,1850      WESTCHESTER AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,4592830,Convertible,,,,
12/24/2022,3:00,,,40.874756,-73.87387,"(40.874756, -73.87387)",PARKSIDE PLACE,,,0,0,0,0,0,0,0,0,Fell Asleep,Unspecified,Unspecified,,,4592453,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,,
12/24/2022,12:30,QUEENS,11423,40.71676,-73.759544,"(40.71676, -73.759544)",,,90-31     202 STREET,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,Unspecified,,,4592729,Box Truck,Sedan,Sedan,,
12/24/2022,6:44,BROOKLYN,11236,40.6338,-73.8897,"(40.6338, -73.8897)",ROCKAWAY PARKWAY,SEAVIEW AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4592472,Bus,Sedan,,,
12/24/2022,12:00,BROOKLYN,11201,40.70166,-73.99207,"(40.70166, -73.99207)",CADMAN PLAZA WEST,BROOKLYN QNS EXPRESSWAY,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,4593004,Sedan,Sedan,,,
12/24/2022,21:37,,,40.605568,-74.00443,"(40.605568, -74.00443)",18 AVENUE,,,0,0,0,0,0,0,0,0,Passing Too Closely,Unsafe Speed,,,,4592629,Station Wagon/Sport Utility Vehicle,Sedan,,,
12/24/2022,18:37,,,40.823635,-73.93095,"(40.823635, -73.93095)",MAJOR DEEGAN EXPRESSWAY,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4592775,Sedan,Sedan,,,
12/24/2022,21:00,QUEENS,11385,40.691433,-73.89063,"(40.691433, -73.89063)",VERMONT PLACE,CYPRESS AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4593105,Sedan,Sedan,,,
12/24/2022,14:45,QUEENS,11434,40.66675,-73.779945,"(40.66675, -73.779945)",SOUTH CONDUIT AVENUE,ROCKAWAY BOULEVARD,,4,0,0,0,0,0,4,0,Following Too Closely,Unspecified,Unspecified,Unspecified,,4592521,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,Station Wagon/Sport Utility Vehicle,
12/24/2022,16:41,BROOKLYN,11234,40.62877,-73.91825,"(40.62877, -73.91825)",RALPH AVENUE,AVENUE J,,1,0,1,0,0,0,0,0,Backing Unsafely,,,,,4592542,Station Wagon/Sport Utility Vehicle,,,,
12/24/2022,16:21,BRONX,10455,40.81793,-73.9053,"(40.81793, -73.9053)",EAST 156 STREET,WESTCHESTER AVENUE,,0,0,0,0,0,0,0,0,Unsafe Speed,,,,,4592709,Sedan,,,,
12/24/2022,12:00,QUEENS,11385,40.71306,-73.90879,"(40.71306, -73.90879)",METROPOLITAN AVENUE,TONSOR STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4592862,Station Wagon/Sport Utility Vehicle,Van,,,
12/24/2022,4:30,,,,,,LONG ISLAND EXPRESSWAY,KISSENA BOULEVARD,,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,4592534,Station Wagon/Sport Utility Vehicle,Sedan,,,
12/24/2022,20:54,QUEENS,11434,40.682568,-73.79266,"(40.682568, -73.79266)",116 AVENUE,SUTPHIN BOULEVARD,,1,0,0,0,0,0,1,0,Following Too Closely,Unspecified,,,,4592797,Sedan,Sedan,,,
12/24/2022,0:45,MANHATTAN,10014,40.73938,-74.00995,"(40.73938, -74.00995)",WEST STREET,GANSEVOORT STREET,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,4592977,Sedan,Taxi,,,
12/24/2022,0:00,,,40.69168,-73.999344,"(40.69168, -73.999344)",BROOKLYN QUEENS EXPRESSWAY,,,1,0,0,0,0,0,1,0,Unsafe Lane Changing,Unspecified,,,,4593008,Station Wagon/Sport Utility Vehicle,Sedan,,,
12/24/2022,19:00,QUEENS,11373,40.73491,-73.88309,"(40.73491, -73.88309)",,,51-79     CODWISE PLACE,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,4592651,Sedan,,,,
12/24/2022,12:00,,,40.676647,-73.82236,"(40.676647, -73.82236)",ROCKAWAY BOULEVARD,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4593062,Station Wagon/Sport Utility Vehicle,,,,
12/24/2022,8:43,BROOKLYN,11211,40.71721,-73.93471,"(40.71721, -73.93471)",VANDERVORT AVENUE,MASPETH AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4592479,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
12/24/2022,15:15,STATEN ISLAND,10305,40.583572,-74.08621,"(40.583572, -74.08621)",,,475       SEAVIEW AVENUE,1,0,1,0,0,0,0,0,Unspecified,,,,,4592926,Sedan,,,,
12/24/2022,0:40,STATEN ISLAND,10301,40.618538,-74.09077,"(40.618538, -74.09077)",,,473       HOWARD AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4592612,Sedan,,,,
12/24/2022,2:23,,,,,,S/B BOWERY,DOYERS STREET,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4592866,Station Wagon/Sport Utility Vehicle,Sedan,,,
12/24/2022,4:30,QUEENS,11103,40.760494,-73.917755,"(40.760494, -73.917755)",,,31-29     STEINWAY STREET,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,4592740,Sedan,Sedan,,,
12/24/2022,2:30,BROOKLYN,11229,40.59993,-73.94637,"(40.59993, -73.94637)",,,2518      AVENUE U,0,0,0,0,0,0,0,0,Unspecified,,,,,4592906,Sedan,,,,
12/24/2022,9:43,QUEENS,11429,40.711403,-73.7312,"(40.711403, -73.7312)",,,223-17    103 AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4592490,Sedan,Station Wagon/Sport Utility Vehicle,,,
12/24/2022,21:49,,,40.676487,-73.82133,"(40.676487, -73.82133)",ROCKAWAY BOULEVARD,117 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4592847,Station Wagon/Sport Utility Vehicle,Sedan,,,
12/24/2022,11:15,QUEENS,11372,40.751568,-73.87895,"(40.751568, -73.87895)",,,35-51     88 STREET,1,0,1,0,0,0,0,0,Unspecified,,,,,4592552,Station Wagon/Sport Utility Vehicle,,,,
12/24/2022,6:00,MANHATTAN,10011,40.74187,-73.997284,"(40.74187, -73.997284)",,,156       7 AVENUE,0,0,0,0,0,0,0,0,Fell Asleep,Unspecified,,,,4592858,Box Truck,Sedan,,,
12/24/2022,3:00,QUEENS,11432,40.703217,-73.80257,"(40.703217, -73.80257)",153 STREET,90 ROAD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4592724,Sedan,Station Wagon/Sport Utility Vehicle,,,
12/24/2022,8:58,BRONX,10468,40.859642,-73.90534,"(40.859642, -73.90534)",GRAND AVENUE,EVELYN PLACE,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,4592817,Taxi,,,,
12/24/2022,3:26,,,40.72135,-74.00465,"(40.72135, -74.00465)",CANAL STREET,,,1,0,0,0,0,0,1,0,Alcohol Involvement,Unspecified,,,,4592456,Sedan,Station Wagon/Sport Utility Vehicle,,,
12/24/2022,21:30,BROOKLYN,11231,40.683067,-73.99557,"(40.683067, -73.99557)",COURT STREET,SACKETT STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4592531,Sedan,Sedan,,,
12/24/2022,19:37,,,,,,WILLIAMSBURG BRIDGE,SOUTH 5 PLACE,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,4592536,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,,
12/24/2022,11:00,,,40.753082,-73.72459,"(40.753082, -73.72459)",GRAND CENTRAL PKWY,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,,,,,4592565,Sedan,,,,
12/24/2022,20:50,BROOKLYN,11232,40.655186,-73.99985,"(40.655186, -73.99985)",32 STREET,5 AVENUE,,1,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,4592648,Station Wagon/Sport Utility Vehicle,E-Bike,,,
12/24/2022,5:04,,,40.699406,-73.95338,"(40.699406, -73.95338)",NOSTRAND AVENUE,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4592499,Sedan,Station Wagon/Sport Utility Vehicle,,,
12/24/2022,6:07,,,40.738987,-73.916695,"(40.738987, -73.916695)",48 AVENUE,49 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4592510,Sedan,Sedan,,,
12/24/2022,16:03,BROOKLYN,11214,40.595104,-74.00091,"(40.595104, -74.00091)",,,8973      BAY PARKWAY,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4592564,Sedan,Station Wagon/Sport Utility Vehicle,,,
12/24/2022,21:30,,,40.592422,-73.99508,"(40.592422, -73.99508)",BELT PARKWAY,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,4592620,Sedan,Sedan,,,
12/24/2022,16:05,BROOKLYN,11236,40.642868,-73.917656,"(40.642868, -73.917656)",,,412       EAST 83 STREET,1,0,1,0,0,0,0,0,Driver Inattention/Distraction,Aggressive Driving/Road Rage,Unspecified,,,4592517,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,,
12/24/2022,7:45,BRONX,10455,40.819096,-73.914566,"(40.819096, -73.914566)",ELTON AVENUE,EAST 154 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,Unspecified,,,4592710,Sedan,Station Wagon/Sport Utility Vehicle,,,
12/24/2022,12:00,,,40.732937,-73.843636,"(40.732937, -73.843636)",GRAND CENTRAL PKWY,,,2,0,0,0,0,0,2,0,Following Too Closely,Unspecified,,,,4592487,Sedan,Station Wagon/Sport Utility Vehicle,,,
12/24/2022,10:00,STATEN ISLAND,10304,40.61747,-74.07687,"(40.61747, -74.07687)",,,106       TOWNSEND AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,4592613,Sedan,,,,
12/24/2022,13:10,,,,,,BROOKLYN BRIDGE,,,0,0,0,0,0,0,0,0,Other Vehicular,,,,,4592871,Sedan,,,,
12/24/2022,22:50,,,40.754776,-73.77097,"(40.754776, -73.77097)",48 AVENUE,210 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4592579,Sedan,,,,
12/24/2022,14:47,BRONX,10475,40.88599,-73.82792,"(40.88599, -73.82792)",BOSTON ROAD,PROVOST AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4592919,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
12/24/2022,21:30,,,,,,WILLIAMSBURG BRIDGE INNER ROADWA,,,2,0,0,0,0,0,2,0,Driver Inattention/Distraction,Unspecified,,,,4592776,Sedan,Sedan,,,
12/24/2022,13:00,QUEENS,11354,40.76465,-73.823494,"(40.76465, -73.823494)",NORTHERN BOULEVARD,PARSONS BOULEVARD,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,4592764,Sedan,Garbage or Refuse,,,
12/24/2022,22:43,QUEENS,11105,40.771053,-73.913536,"(40.771053, -73.913536)",,,23-81     35 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4592738,Station Wagon/Sport Utility Vehicle,,,,
12/24/2022,4:05,,,,,,WILLIAMSBURG BRIDGE OUTER ROADWA,,,1,0,0,0,0,0,1,0,Pavement Slippery,Unspecified,,,,4592476,Taxi,Sedan,,,
